source,target,length_km,speed_kph,name
n0026,n0126,0.6672,35,AA Lane
n0027,n0026,0.6642,60,1st Avenue
n0027,n0028,0.6642,60,1st Avenue
n0027,n0127,0.6672,35,AB Lane
n0028,n0027,0.6642,60,1st Avenue
n0028,n0029,0.6642,60,1st Avenue
n0028,n0128,0.6672,35,AC Lane
n0029,n0028,0.6642,60,1st Avenue
n0029,n0030,0.6642,60,1st Avenue
n0029,n0129,0.6672,35,AD Lane
n0030,n0029,0.6642,60,1st Avenue
n0030,n0031,0.6642,60,1st Avenue
n0030,n0130,0.6672,60,AE Boulevard
n0030,n0025,3.3212,100,Ring Motorway
n0030,n0035,3.3212,100,Ring Motorway
n0031,n0030,0.6642,60,1st Avenue
n0031,n0032,0.6642,60,1st Avenue
n0031,n0131,0.6672,35,AF Lane
n0032,n0031,0.6642,60,1st Avenue
n0032,n0033,0.6642,60,1st Avenue
n0032,n0132,0.6672,35,AG Lane
n0033,n0032,0.6642,60,1st Avenue
n0033,n0034,0.6642,60,1st Avenue
n0033,n0133,0.6672,35,AH Lane
n0034,n0033,0.6642,60,1st Avenue
n0034,n0035,0.6642,60,1st Avenue
n0034,n0134,0.6672,35,AI Lane
n0035,n0034,0.6642,60,1st Avenue
n0035,n0036,0.6642,60,1st Avenue
n0035,n0135,0.6672,60,AJ Boulevard
n0035,n0030,3.3212,100,Ring Motorway
n0035,n0539,4.2644,100,Ring Motorway
n0036,n0035,0.6642,60,1st Avenue
n0036,n0037,0.6642,60,1st Avenue
n0036,n0136,0.6672,35,AK Lane
n0037,n0036,0.6642,60,1st Avenue
n0037,n0038,0.6642,60,1st Avenue
n0037,n0137,0.6672,35,AL Lane
n0038,n0037,0.6642,60,1st Avenue
n0038,n0039,0.6642,60,1st Avenue
n0038,n0138,0.6672,35,AM Lane
n0039,n0038,0.6642,60,1st Avenue
n0039,n0139,0.6672,35,AN Lane
n0100,n0000,0.6672,60,A Boulevard
n0100,n0101,0.6642,35,2nd Street
n0100,n0200,0.6672,60,A Boulevard
n0101,n0001,0.6672,35,B Lane
n0101,n0100,0.6642,35,2nd Street
n0101,n0102,0.6642,35,2nd Street
n0101,n0201,0.6672,35,B Lane
n0102,n0002,0.6672,35,C Lane
n0102,n0101,0.6642,35,2nd Street
n0102,n0103,0.6642,35,2nd Street
n0102,n0202,0.6672,35,C Lane
n0103,n0003,0.6672,35,D Lane
n0103,n0102,0.6642,35,2nd Street
n0103,n0104,0.6642,35,2nd Street
n0103,n0203,0.6672,35,D Lane
n0104,n0004,0.6672,35,E Lane
n0104,n0103,0.6642,35,2nd Street
n0104,n0204,0.6672,35,E Lane
n0105,n0005,0.6672,60,F Boulevard
n0105,n0106,0.6642,35,2nd Street
n0105,n0205,0.6672,60,F Boulevard
n0106,n0006,0.6672,35,G Lane
n0106,n0105,0.6642,35,2nd Street
n0106,n0107,0.6642,35,2nd Street
n0106,n0206,0.6672,35,G Lane
n0107,n0007,0.6672,35,H Lane
n0107,n0106,0.6642,35,2nd Street
n0107,n0207,0.6672,35,H Lane
n0108,n0008,0.6672,35,I Lane
n0108,n0208,0.6672,35,I Lane
n0109,n0110,0.6642,35,2nd Street
n0109,n0209,0.6672,35,J Lane
n0110,n0010,0.6672,60,K Boulevard
n0110,n0109,0.6642,35,2nd Street
n0110,n0111,0.6642,35,2nd Street
n0110,n0210,0.6672,60,K Boulevard
n0111,n0011,0.6672,35,L Lane
n0111,n0110,0.6642,35,2nd Street
n0111,n0112,0.6642,35,2nd Street
n0111,n0211,0.6672,35,L Lane
n0112,n0012,0.6672,35,M Lane
n0112,n0111,0.6642,35,2nd Street
n0112,n0113,0.6642,35,2nd Street
n0112,n0212,0.6672,35,M Lane
n0113,n0013,0.6672,35,N Lane
n0113,n0112,0.6642,35,2nd Street
n0113,n0114,0.6642,35,2nd Street
n0113,n0213,0.6672,35,N Lane
n0114,n0014,0.6672,35,O Lane
n0114,n0113,0.6642,35,2nd Street
n0114,n0115,0.6642,35,2nd Street
n0114,n0214,0.6672,35,O Lane
n0115,n0015,0.6672,60,P Boulevard
n0115,n0114,0.6642,35,2nd Street
n0115,n0116,0.6642,35,2nd Street
n0115,n0215,0.6672,60,P Boulevard
n0116,n0016,0.6672,35,Q Lane
n0116,n0115,0.6642,35,2nd Street
n0116,n0117,0.6642,35,2nd Street
n0116,n0216,0.6672,35,Q Lane
n0117,n0017,0.6672,35,R Lane
n0117,n0116,0.6642,35,2nd Street
n0117,n0118,0.6642,35,2nd Street
n0118,n0117,0.6642,35,2nd Street
n0118,n0119,0.6642,35,2nd Street
n0118,n0218,0.6672,35,S Lane
n0119,n0019,0.6672,35,T Lane
n0119,n0118,0.6642,35,2nd Street
n0119,n0120,0.6642,35,2nd Street
n0119,n0219,0.6672,35,T Lane
n0120,n0020,0.6672,60,U Boulevard
n0120,n0119,0.6642,35,2nd Street
n0120,n0121,0.6642,35,2nd Street
n0120,n0220,0.6672,60,U Boulevard
n0121,n0021,0.6672,35,V Lane
n0121,n0120,0.6642,35,2nd Street
n0121,n0122,0.6642,35,2nd Street
n0121,n0221,0.6672,35,V Lane
n0122,n0022,0.6672,35,W Lane
n0122,n0121,0.6642,35,2nd Street
n0122,n0123,0.6642,35,2nd Street
n0123,n0023,0.6672,35,X Lane
n0123,n0122,0.6642,35,2nd Street
n0123,n0124,0.6642,35,2nd Street
n0123,n0223,0.6672,35,X Lane
n0124,n0024,0.6672,35,Y Lane
n0124,n0123,0.6642,35,2nd Street
n0124,n0125,0.6642,35,2nd Street
n0124,n0224,0.6672,35,Y Lane
n0125,n0025,0.6672,60,Z Boulevard
n0125,n0124,0.6642,35,2nd Street
n0125,n0126,0.6642,35,2nd Street
n0125,n0225,0.6672,60,Z Boulevard
n0126,n0026,0.6672,35,AA Lane
n0126,n0125,0.6642,35,2nd Street
n0126,n0127,0.6642,35,2nd Street
n0126,n0226,0.6672,35,AA Lane
n0127,n0027,0.6672,35,AB Lane
n0127,n0126,0.6642,35,2nd Street
n0127,n0128,0.6642,35,2nd Street
n0127,n0227,0.6672,35,AB Lane
n0128,n0028,0.6672,35,AC Lane
n0128,n0127,0.6642,35,2nd Street
n0128,n0228,0.6672,35,AC Lane
n0129,n0029,0.6672,35,AD Lane
n0129,n0130,0.6642,35,2nd Street
n0129,n0229,0.6672,35,AD Lane
n0130,n0030,0.6672,60,AE Boulevard
n0130,n0129,0.6642,35,2nd Street
n0130,n0131,0.6642,35,2nd Street
n0130,n0230,0.6672,60,AE Boulevard
n0131,n0031,0.6672,35,AF Lane
n0131,n0130,0.6642,35,2nd Street
n0131,n0132,0.6642,35,2nd Street
n0131,n0231,0.6672,35,AF Lane
n0132,n0032,0.6672,35,AG Lane
n0132,n0131,0.6642,35,2nd Street
n0132,n0133,0.6642,35,2nd Street
n0132,n0232,0.6672,35,AG Lane
n0133,n0033,0.6672,35,AH Lane
n0133,n0132,0.6642,35,2nd Street
n0133,n0134,0.6642,35,2nd Street
n0133,n0233,0.6672,35,AH Lane
n0134,n0034,0.6672,35,AI Lane
n0134,n0133,0.6642,35,2nd Street
n0134,n0135,0.6642,35,2nd Street
n0134,n0234,0.6672,35,AI Lane
n0135,n0035,0.6672,60,AJ Boulevard
n0135,n0134,0.6642,35,2nd Street
n0135,n0136,0.6642,35,2nd Street
n0135,n0235,0.6672,60,AJ Boulevard
n0136,n0036,0.6672,35,AK Lane
n0136,n0135,0.6642,35,2nd Street
n0136,n0137,0.6642,35,2nd Street
n0136,n0236,0.6672,35,AK Lane
n0137,n0037,0.6672,35,AL Lane
n0137,n0136,0.6642,35,2nd Street
n0137,n0138,0.6642,35,2nd Street
n0137,n0237,0.6672,35,AL Lane
n0138,n0038,0.6672,35,AM Lane
n0138,n0137,0.6642,35,2nd Street
n0138,n0139,0.6642,35,2nd Street
n0138,n0238,0.6672,35,AM Lane
n0139,n0039,0.6672,35,AN Lane
n0139,n0138,0.6642,35,2nd Street
n0139,n0239,0.6672,35,AN Lane
n0200,n0100,0.6672,60,A Boulevard
n0200,n0201,0.6641,35,3rd Street
n0200,n0300,0.6672,60,A Boulevard
n0201,n0101,0.6672,35,B Lane
n0201,n0200,0.6641,35,3rd Street
n0201,n0202,0.6641,35,3rd Street
n0201,n0301,0.6672,35,B Lane
n0202,n0102,0.6672,35,C Lane
n0202,n0201,0.6641,35,3rd Street
n0202,n0203,0.6641,35,3rd Street
n0202,n0302,0.6672,35,C Lane
n0203,n0103,0.6672,35,D Lane
n0203,n0202,0.6641,35,3rd Street
n0203,n0204,0.6641,35,3rd Street
n0203,n0303,0.6672,35,D Lane
n0204,n0104,0.6672,35,E Lane
n0204,n0203,0.6641,35,3rd Street
n0204,n0205,0.6641,35,3rd Street
n0204,n0304,0.6672,35,E Lane
n0205,n0105,0.6672,60,F Boulevard
n0205,n0204,0.6641,35,3rd Street
n0205,n0206,0.6641,35,3rd Street
n0205,n0305,0.6672,60,F Boulevard
n0206,n0106,0.6672,35,G Lane
n0206,n0205,0.6641,35,3rd Street
n0206,n0207,0.6641,35,3rd Street
n0206,n0306,0.6672,35,G Lane
n0207,n0107,0.6672,35,H Lane
n0207,n0206,0.6641,35,3rd Street
n0207,n0208,0.6641,35,3rd Street
n0207,n0307,0.6672,35,H Lane
n0208,n0108,0.6672,35,I Lane
n0208,n0207,0.6641,35,3rd Street
n0208,n0209,0.6641,35,3rd Street
n0208,n0308,0.6672,35,I Lane
n0209,n0109,0.6672,35,J Lane
n0209,n0208,0.6641,35,3rd Street
n0209,n0210,0.6641,35,3rd Street
n0209,n0309,0.6672,35,J Lane
n0210,n0110,0.6672,60,K Boulevard
n0210,n0209,0.6641,35,3rd Street
n0210,n0211,0.6641,35,3rd Street
n0210,n0310,0.6672,60,K Boulevard
n0211,n0111,0.6672,35,L Lane
n0211,n0210,0.6641,35,3rd Street
n0211,n0212,0.6641,35,3rd Street
n0212,n0112,0.6672,35,M Lane
n0212,n0211,0.6641,35,3rd Street
n0212,n0213,0.6641,35,3rd Street
n0212,n0312,0.6672,35,M Lane
n0213,n0113,0.6672,35,N Lane
n0213,n0212,0.6641,35,3rd Street
n0213,n0214,0.6641,35,3rd Street
n0213,n0313,0.6672,35,N Lane
n0214,n0114,0.6672,35,O Lane
n0214,n0213,0.6641,35,3rd Street
n0214,n0215,0.6641,35,3rd Street
n0214,n0314,0.6672,35,O Lane
n0215,n0115,0.6672,60,P Boulevard
n0215,n0214,0.6641,35,3rd Street
n0215,n0216,0.6641,35,3rd Street
n0215,n0315,0.6672,60,P Boulevard
n0216,n0116,0.6672,35,Q Lane
n0216,n0215,0.6641,35,3rd Street
n0216,n0217,0.6641,35,3rd Street
n0216,n0316,0.6672,35,Q Lane
n0217,n0216,0.6641,35,3rd Street
n0217,n0218,0.6641,35,3rd Street
n0217,n0317,0.6672,35,R Lane
n0218,n0118,0.6672,35,S Lane
n0218,n0217,0.6641,35,3rd Street
n0218,n0219,0.6641,35,3rd Street
n0218,n0318,0.6672,35,S Lane
n0219,n0119,0.6672,35,T Lane
n0219,n0218,0.6641,35,3rd Street
n0219,n0319,0.6672,35,T Lane
n0220,n0120,0.6672,60,U Boulevard
n0220,n0221,0.6641,35,3rd Street
n0220,n0320,0.6672,60,U Boulevard
n0221,n0121,0.6672,35,V Lane
n0221,n0220,0.6641,35,3rd Street
n0221,n0222,0.6641,35,3rd Street
n0221,n0321,0.6672,35,V Lane
n0222,n0221,0.6641,35,3rd Street
n0222,n0223,0.6641,35,3rd Street
n0222,n0322,0.6672,35,W Lane
n0223,n0123,0.6672,35,X Lane
n0223,n0222,0.6641,35,3rd Street
n0223,n0224,0.6641,35,3rd Street
n0223,n0323,0.6672,35,X Lane
n0224,n0124,0.6672,35,Y Lane
n0224,n0223,0.6641,35,3rd Street
n0224,n0225,0.6641,35,3rd Street
n0224,n0324,0.6672,35,Y Lane
n0225,n0125,0.6672,60,Z Boulevard
n0225,n0224,0.6641,35,3rd Street
n0225,n0325,0.6672,60,Z Boulevard
n0226,n0126,0.6672,35,AA Lane
n0226,n0326,0.6672,35,AA Lane
n0227,n0127,0.6672,35,AB Lane
n0227,n0327,0.6672,35,AB Lane
n0228,n0128,0.6672,35,AC Lane
n0228,n0229,0.6641,35,3rd Street
n0228,n0328,0.6672,35,AC Lane
n0229,n0129,0.6672,35,AD Lane
n0229,n0228,0.6641,35,3rd Street
n0229,n0230,0.6641,35,3rd Street
n0229,n0329,0.6672,35,AD Lane
n0230,n0130,0.6672,60,AE Boulevard
n0230,n0229,0.6641,35,3rd Street
n0230,n0231,0.6641,35,3rd Street
n0230,n0330,0.6672,60,AE Boulevard
n0231,n0131,0.6672,35,AF Lane
n0231,n0230,0.6641,35,3rd Street
n0231,n0232,0.6641,35,3rd Street
n0231,n0331,0.6672,35,AF Lane
n0232,n0132,0.6672,35,AG Lane
n0232,n0231,0.6641,35,3rd Street
n0232,n0233,0.6641,35,3rd Street
n0232,n0332,0.6672,35,AG Lane
n0233,n0133,0.6672,35,AH Lane
n0233,n0232,0.6641,35,3rd Street
n0233,n0234,0.6641,35,3rd Street
n0233,n0333,0.6672,35,AH Lane
n0234,n0134,0.6672,35,AI Lane
n0234,n0233,0.6641,35,3rd Street
n0234,n0235,0.6641,35,3rd Street
n0234,n0334,0.6672,35,AI Lane
n0235,n0135,0.6672,60,AJ Boulevard
n0235,n0234,0.6641,35,3rd Street
n0235,n0236,0.6641,35,3rd Street
n0235,n0335,0.6672,60,AJ Boulevard
n0236,n0136,0.6672,35,AK Lane
n0236,n0235,0.6641,35,3rd Street
n0236,n0237,0.6641,35,3rd Street
n0236,n0336,0.6672,35,AK Lane
n0237,n0137,0.6672,35,AL Lane
n0237,n0236,0.6641,35,3rd Street
n0237,n0238,0.6641,35,3rd Street
n0237,n0337,0.6672,35,AL Lane
n0238,n0138,0.6672,35,AM Lane
n0238,n0237,0.6641,35,3rd Street
n0238,n0239,0.6641,35,3rd Street
n0238,n0338,0.6672,35,AM Lane
n0239,n0139,0.6672,35,AN Lane
n0239,n0238,0.6641,35,3rd Street
n0239,n0339,0.6672,35,AN Lane
n0300,n0200,0.6672,60,A Boulevard
n0300,n0301,0.6641,35,4th Street
n0300,n0400,0.6672,60,A Boulevard
n0301,n0201,0.6672,35,B Lane
n0301,n0300,0.6641,35,4th Street
n0301,n0401,0.6672,35,B Lane
n0302,n0202,0.6672,35,C Lane
n0302,n0303,0.6641,35,4th Street
n0302,n0402,0.6672,35,C Lane
n0303,n0203,0.6672,35,D Lane
n0303,n0302,0.6641,35,4th Street
n0303,n0304,0.6641,35,4th Street
n0303,n0403,0.6672,35,D Lane
n0304,n0204,0.6672,35,E Lane
n0304,n0303,0.6641,35,4th Street
n0304,n0305,0.6641,35,4th Street
n0304,n0404,0.6672,35,E Lane
n0305,n0205,0.6672,60,F Boulevard
n0305,n0304,0.6641,35,4th Street
n0305,n0306,0.6641,35,4th Street
n0305,n0405,0.6672,60,F Boulevard
n0306,n0206,0.6672,35,G Lane
n0306,n0305,0.6641,35,4th Street
n0306,n0307,0.6641,35,4th Street
n0306,n0406,0.6672,35,G Lane
n0307,n0207,0.6672,35,H Lane
n0307,n0306,0.6641,35,4th Street
n0307,n0308,0.6641,35,4th Street
n0307,n0407,0.6672,35,H Lane
n0308,n0208,0.6672,35,I Lane
n0308,n0307,0.6641,35,4th Street
n0308,n0309,0.6641,35,4th Street
n0308,n0408,0.6672,35,I Lane
n0309,n0209,0.6672,35,J Lane
n0309,n0308,0.6641,35,4th Street
n0309,n0310,0.6641,35,4th Street
n0309,n0409,0.6672,35,J Lane
n0310,n0210,0.6672,60,K Boulevard
n0310,n0309,0.6641,35,4th Street
n0310,n0311,0.6641,35,4th Street
n0310,n0410,0.6672,60,K Boulevard
n0311,n0310,0.6641,35,4th Street
n0311,n0411,0.6672,35,L Lane
n0312,n0212,0.6672,35,M Lane
n0312,n0313,0.6641,35,4th Street
n0312,n0412,0.6672,35,M Lane
n0313,n0213,0.6672,35,N Lane
n0313,n0312,0.6641,35,4th Street
n0313,n0314,0.6641,35,4th Street
n0313,n0413,0.6672,35,N Lane
n0314,n0214,0.6672,35,O Lane
n0314,n0313,0.6641,35,4th Street
n0314,n0315,0.6641,35,4th Street
n0314,n0414,0.6672,35,O Lane
n0315,n0215,0.6672,60,P Boulevard
n0315,n0314,0.6641,35,4th Street
n0315,n0316,0.6641,35,4th Street
n0315,n0415,0.6672,60,P Boulevard
n0316,n0216,0.6672,35,Q Lane
n0316,n0315,0.6641,35,4th Street
n0316,n0317,0.6641,35,4th Street
n0317,n0217,0.6672,35,R Lane
n0317,n0316,0.6641,35,4th Street
n0317,n0318,0.6641,35,4th Street
n0317,n0417,0.6672,35,R Lane
n0318,n0218,0.6672,35,S Lane
n0318,n0317,0.6641,35,4th Street
n0318,n0319,0.6641,35,4th Street
n0318,n0418,0.6672,35,S Lane
n0319,n0219,0.6672,35,T Lane
n0319,n0318,0.6641,35,4th Street
n0319,n0419,0.6672,35,T Lane
n0320,n0220,0.6672,60,U Boulevard
n0320,n0321,0.6641,35,4th Street
n0320,n0420,0.6672,60,U Boulevard
n0321,n0221,0.6672,35,V Lane
n0321,n0320,0.6641,35,4th Street
n0321,n0322,0.6641,35,4th Street
n0321,n0421,0.6672,35,V Lane
n0322,n0222,0.6672,35,W Lane
n0322,n0321,0.6641,35,4th Street
n0322,n0323,0.6641,35,4th Street
n0322,n0422,0.6672,35,W Lane
n0323,n0223,0.6672,35,X Lane
n0323,n0322,0.6641,35,4th Street
n0323,n0324,0.6641,35,4th Street
n0323,n0423,0.6672,35,X Lane
n0324,n0224,0.6672,35,Y Lane
n0324,n0323,0.6641,35,4th Street
n0324,n0325,0.6641,35,4th Street
n0324,n0424,0.6672,35,Y Lane
n0325,n0225,0.6672,60,Z Boulevard
n0325,n0324,0.6641,35,4th Street
n0325,n0326,0.6641,35,4th Street
n0325,n0425,0.6672,60,Z Boulevard
n0326,n0226,0.6672,35,AA Lane
n0326,n0325,0.6641,35,4th Street
n0326,n0426,0.6672,35,AA Lane
n0327,n0227,0.6672,35,AB Lane
n0327,n0328,0.6641,35,4th Street
n0327,n0427,0.6672,35,AB Lane
n0328,n0228,0.6672,35,AC Lane
n0328,n0327,0.6641,35,4th Street
n0328,n0329,0.6641,35,4th Street
n0328,n0428,0.6672,35,AC Lane
n0329,n0229,0.6672,35,AD Lane
n0329,n0328,0.6641,35,4th Street
n0329,n0429,0.6672,35,AD Lane
n0330,n0230,0.6672,60,AE Boulevard
n0330,n0331,0.6641,35,4th Street
n0330,n0430,0.6672,60,AE Boulevard
n0331,n0231,0.6672,35,AF Lane
n0331,n0330,0.6641,35,4th Street
n0331,n0332,0.6641,35,4th Street
n0331,n0431,0.6672,35,AF Lane
n0332,n0232,0.6672,35,AG Lane
n0332,n0331,0.6641,35,4th Street
n0332,n0333,0.6641,35,4th Street
n0332,n0432,0.6672,35,AG Lane
n0333,n0233,0.6672,35,AH Lane
n0333,n0332,0.6641,35,4th Street
n0333,n0334,0.6641,35,4th Street
n0333,n0433,0.6672,35,AH Lane
n0334,n0234,0.6672,35,AI Lane
n0334,n0333,0.6641,35,4th Street
n0334,n0335,0.6641,35,4th Street
n0334,n0434,0.6672,35,AI Lane
n0335,n0235,0.6672,60,AJ Boulevard
n0335,n0334,0.6641,35,4th Street
n0335,n0336,0.6641,35,4th Street
n0335,n0435,0.6672,60,AJ Boulevard
n0336,n0236,0.6672,35,AK Lane
n0336,n0335,0.6641,35,4th Street
n0336,n0337,0.6641,35,4th Street
n0336,n0436,0.6672,35,AK Lane
n0337,n0237,0.6672,35,AL Lane
n0337,n0336,0.6641,35,4th Street
n0337,n0338,0.6641,35,4th Street
n0337,n0437,0.6672,35,AL Lane
n0338,n0238,0.6672,35,AM Lane
n0338,n0337,0.6641,35,4th Street
n0338,n0339,0.6641,35,4th Street
n0338,n0438,0.6672,35,AM Lane
n0339,n0239,0.6672,35,AN Lane
n0339,n0338,0.6641,35,4th Street
n0339,n0439,0.6672,35,AN Lane
n0400,n0300,0.6672,60,A Boulevard
n0400,n0401,0.6641,35,5th Street
n0400,n0500,0.6672,60,A Boulevard
n0400,n0900,3.3359,100,Ring Motorway
n0400,n0000,2.6687,100,Ring Motorway
n0401,n0301,0.6672,35,B Lane
n0401,n0400,0.6641,35,5th Street
n0401,n0402,0.6641,35,5th Street
n0401,n0501,0.6672,35,B Lane
n0402,n0302,0.6672,35,C Lane
n0402,n0401,0.6641,35,5th Street
n0402,n0403,0.6641,35,5th Street
n0402,n0502,0.6672,35,C Lane
n0403,n0303,0.6672,35,D Lane
n0403,n0402,0.6641,35,5th Street
n0403,n0404,0.6641,35,5th Street
n0403,n0503,0.6672,35,D Lane
n0404,n0304,0.6672,35,E Lane
n0404,n0403,0.6641,35,5th Street
n0404,n0405,0.6641,35,5th Street
n0404,n0504,0.6672,35,E Lane
n0405,n0305,0.6672,60,F Boulevard
n0405,n0404,0.6641,35,5th Street
n0405,n0406,0.6641,35,5th Street
n0405,n0505,0.6672,60,F Boulevard
n0406,n0306,0.6672,35,G Lane
n0406,n0405,0.6641,35,5th Street
n0406,n0407,0.6641,35,5th Street
n0406,n0506,0.6672,35,G Lane
n0407,n0307,0.6672,35,H Lane
n0407,n0406,0.6641,35,5th Street
n0407,n0507,0.6672,35,H Lane
n0408,n0308,0.6672,35,I Lane
n0408,n0409,0.6641,35,5th Street
n0408,n0508,0.6672,35,I Lane
n0409,n0309,0.6672,35,J Lane
n0409,n0408,0.6641,35,5th Street
n0409,n0410,0.6641,35,5th Street
n0409,n0509,0.6672,35,J Lane
n0410,n0310,0.6672,60,K Boulevard
n0410,n0409,0.6641,35,5th Street
n0410,n0411,0.6641,35,5th Street
n0410,n0510,0.6672,60,K Boulevard
n0411,n0311,0.6672,35,L Lane
n0411,n0410,0.6641,35,5th Street
n0411,n0412,0.6641,35,5th Street
n0411,n0511,0.6672,35,L Lane
n0412,n0312,0.6672,35,M Lane
n0412,n0411,0.6641,35,5th Street
n0412,n0413,0.6641,35,5th Street
n0413,n0313,0.6672,35,N Lane
n0413,n0412,0.6641,35,5th Street
n0413,n0414,0.6641,35,5th Street
n0413,n0513,0.6672,35,N Lane
n0414,n0314,0.6672,35,O Lane
n0414,n0413,0.6641,35,5th Street
n0414,n0415,0.6641,35,5th Street
n0415,n0315,0.6672,60,P Boulevard
n0415,n0414,0.6641,35,5th Street
n0415,n0416,0.6641,35,5th Street
n0415,n0515,0.6672,60,P Boulevard
n0416,n0415,0.6641,35,5th Street
n0416,n0417,0.6641,35,5th Street
n0416,n0516,0.6672,35,Q Lane
n0417,n0317,0.6672,35,R Lane
n0417,n0416,0.6641,35,5th Street
n0417,n0418,0.6641,35,5th Street
n0417,n0517,0.6672,35,R Lane
n0418,n0318,0.6672,35,S Lane
n0418,n0417,0.6641,35,5th Street
n0418,n0419,0.6641,35,5th Street
n0418,n0518,0.6672,35,S Lane
n0419,n0319,0.6672,35,T Lane
n0419,n0418,0.6641,35,5th Street
n0419,n0420,0.6641,35,5th Street
n0419,n0519,0.6672,35,T Lane
n0420,n0320,0.6672,60,U Boulevard
n0420,n0419,0.6641,35,5th Street
n0420,n0421,0.6641,35,5th Street
n0420,n0520,0.6672,60,U Boulevard
n0421,n0321,0.6672,35,V Lane
n0421,n0420,0.6641,35,5th Street
n0421,n0422,0.6641,35,5th Street
n0421,n0521,0.6672,35,V Lane
n0422,n0322,0.6672,35,W Lane
n0422,n0421,0.6641,35,5th Street
n0422,n0423,0.6641,35,5th Street
n0422,n0522,0.6672,35,W Lane
n0423,n0323,0.6672,35,X Lane
n0423,n0422,0.6641,35,5th Street
n0423,n0424,0.6641,35,5th Street
n0423,n0523,0.6672,35,X Lane
n0424,n0324,0.6672,35,Y Lane
n0424,n0423,0.6641,35,5th Street
n0424,n0425,0.6641,35,5th Street
n0424,n0524,0.6672,35,Y Lane
